row,cat_id,name,bucket,confidence,frequency,threshold,total_images,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
152,153,briefcase,medium,medium,c,0.39,100169,50,100119,3,351,99768,47,0.0085,0.06,0.0149,0.0102
153,154,broccoli,high,high,f,0.4,100169,1309,98860,355,149,98711,954,0.7044,0.2712,0.3916,0.5338
154,155,broach,weak,low,r,0.45,100169,6,100163,0,0,100163,6,0.0,0.0,0.0,0.0
155,156,broom,medium,medium,c,0.37,100169,92,100077,10,3011,97066,82,0.0033,0.1087,0.0064,0.0041
156,157,brownie,medium,medium,c,0.44,100169,19,100150,1,15,100135,18,0.0625,0.0526,0.0571,0.0602
157,158,brussels_sprouts,medium,medium,c,0.44,100169,37,100132,2,13,100119,35,0.1333,0.0541,0.0769,0.1031
158,159,bubble_gum,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
159,160,bucket,high,high,f,0.37,100169,709,99460,71,6031,93429,638,0.0116,0.1001,0.0208,0.0141
160,161,horse_buggy,weak,low,r,0.45,100169,9,100160,2,21,100139,7,0.087,0.2222,0.125,0.099
161,162,bull,medium,medium,c,0.45,100169,82,100087,2,0,100087,80,1.0,0.0244,0.0476,0.1111
162,163,bulldog,medium,medium,c,0.44,100169,15,100154,1,1,100153,14,0.5,0.0667,0.1176,0.2174
163,164,bulldozer,weak,low,r,0.45,100169,3,100166,0,0,100166,3,0.0,0.0,0.0,0.0
164,165,bullet_train,medium,medium,c,0.45,100169,61,100108,11,14,100094,50,0.44,0.1803,0.2558,0.3416
165,166,bulletin_board,medium,medium,c,0.38,100169,51,100118,3,355,99763,48,0.0084,0.0588,0.0147,0.0101
166,167,bulletproof_vest,weak,low,r,0.45,100169,5,100164,0,0,100164,5,0.0,0.0,0.0,0.0
167,168,bullhorn,medium,medium,c,0.38,100169,13,100156,1,1551,98605,12,0.0006,0.0769,0.0013,0.0008
168,169,bun,high,high,f,0.39,100169,642,99527,92,522,99005,550,0.1498,0.1433,0.1465,0.1485
169,170,bunk_bed,medium,medium,c,0.45,100169,24,100145,5,6,100139,19,0.4545,0.2083,0.2857,0.3676
170,171,buoy,high,high,f,0.39,100169,255,99914,40,1059,98855,215,0.0364,0.1569,0.0591,0.043
171,172,burrito,weak,low,r,0.45,100169,9,100160,0,11,100149,9,0.0,0.0,0.0,0.0
172,173,bus_(vehicle),high,high,f,0.41,100169,1808,98361,770,609,97752,1038,0.5584,0.4259,0.4832,0.5257
173,174,business_card,medium,medium,c,0.35,100169,31,100138,2,330,99808,29,0.006,0.0645,0.011,0.0074
174,175,butter,high,high,f,0.39,100169,158,100011,8,606,99405,150,0.013,0.0506,0.0207,0.0153
175,176,butterfly,medium,medium,c,0.4,100169,80,100089,4,2,100087,76,0.6667,0.05,0.093,0.1923
176,177,button,high,high,f,0.35,100169,1884,98285,391,13781,84504,1493,0.0276,0.2075,0.0487,0.0334
177,178,cab_(taxi),high,high,f,0.42,100169,158,100011,6,75,99936,152,0.0741,0.038,0.0502,0.0622
178,179,cabana,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
179,180,cabin_car,medium,medium,c,0.43,100169,12,100157,1,3,100154,11,0.25,0.0833,0.125,0.1786
180,181,cabinet,high,high,f,0.38,100169,1659,98510,539,2994,95516,1120,0.1526,0.3249,0.2076,0.1707
181,182,locker,weak,low,r,0.45,100169,7,100162,0,0,100162,7,0.0,0.0,0.0,0.0
182,183,cake,high,high,f,0.41,100169,834,99335,261,420,98915,573,0.3833,0.3129,0.3446,0.3668
183,184,calculator,medium,medium,c,0.36,100169,57,100112,23,1756,98356,34,0.0129,0.4035,0.0251,0.016
184,185,calendar,high,high,f,0.37,100169,174,99995,9,324,99671,165,0.027,0.0517,0.0355,0.0299
185,186,calf,medium,medium,c,0.44,100169,95,100074,6,38,100036,89,0.1364,0.0632,0.0863,0.1107
186,187,camcorder,medium,medium,c,0.38,100169,27,100142,1,330,99812,26,0.003,0.037,0.0056,0.0037
187,188,camel,medium,medium,c,0.4,100169,22,100147,4,418,99729,18,0.0095,0.1818,0.018,0.0117
188,189,camera,high,high,f,0.4,100169,1391,98778,57,252,98526,1334,0.1845,0.041,0.0671,0.1085
189,190,camera_lens,medium,medium,c,0.41,100169,90,100079,6,28,100051,84,0.1765,0.0667,0.0968,0.1327
190,191,camper_(vehicle),medium,medium,c,0.43,100169,40,100129,1,10,100119,39,0.0909,0.025,0.0392,0.0595
191,192,can,high,high,f,0.38,100169,445,99724,19,677,99047,426,0.0273,0.0427,0.0333,0.0294
192,193,can_opener,medium,medium,c,0.36,100169,21,100148,10,15684,84464,11,0.0006,0.4762,0.0013,0.0008
193,194,candle,high,high,f,0.39,100169,1132,99037,104,243,98794,1028,0.2997,0.0919,0.1406,0.2063
194,195,candle_holder,high,high,f,0.4,100169,177,99992,7,113,99879,170,0.0583,0.0395,0.0471,0.0533
195,196,candy_bar,weak,low,r,0.45,100169,4,100165,0,1,100164,4,0.0,0.0,0.0,0.0
196,197,candy_cane,medium,medium,c,0.42,100169,17,100152,2,15,100137,15,0.1176,0.1176,0.1176,0.1176
197,198,walking_cane,medium,medium,c,0.41,100169,84,100085,1,89,99996,83,0.0111,0.0119,0.0115,0.0113
198,199,canister,medium,medium,c,0.39,100169,55,100114,3,492,99622,52,0.0061,0.0545,0.0109,0.0074
199,200,canoe,medium,medium,c,0.45,100169,30,100139,1,1,100138,29,0.5,0.0333,0.0625,0.1316
200,201,cantaloup,medium,medium,c,0.38,100169,25,100144,5,846,99298,20,0.0059,0.2,0.0114,0.0073
